,X,Y,Z,Roll,Pitch,Yaw
0,0,0,0,-0,0,0
1,-0.047328,0.00991527,0.0951418,0.01762,0.31434,-2.98751
2,0.0116182,-0.322793,0.0836041,-0.0103895,0.172295,-2.07381
3,-0.0147732,-0.611462,0.15191,-0.0677303,0.282286,-3.17595
4,-0.0750595,-0.649018,0.215391,-0.104582,0.473286,-4.89251
5,-0.105375,-0.879849,0.131268,-0.214422,0.529436,-5.38044
6,-0.333881,-0.952374,0.147435,-0.298774,0.768631,-7.0871
7,-0.554716,-0.909165,0.140626,-0.218323,0.64857,-5.01458
8,-0.799524,-0.81279,0.231374,-0.128556,0.689961,-4.50864
9,-0.650913,-0.543917,0.309172,-0.0129435,0.675244,-4.83267
10,-0.05296,-0.301796,0.318293,0.143945,0.341516,-3.40804
11,0.306267,-0.198299,0.514174,0.208231,0.292401,-4.42083
12,0.344368,-0.0851988,0.510711,0.20539,0.314513,-5.06739
13,0.223211,-0.365076,0.313744,0.0714485,0.320076,-5.24552
14,-0.0591238,-0.289491,0.477585,0.157957,0.297813,-4.21779
15,-0.314952,-0.213706,0.184912,0.16298,0.157694,-2.25667
16,-0.196681,-0.325248,-0.008439,0.132657,-0.0903144,-0.460107
17,-0.197198,-0.206582,0.235363,0.216356,-0.193982,0.349804
18,0.027544,-0.0199888,0.172041,0.227253,-0.291463,0.264799
19,0.274222,0.198446,0.249878,0.23539,-0.350292,-0.122251
20,0.478182,0.466656,0.249915,0.23397,-0.40651,-0.586771
21,0.421307,0.622189,0.446226,0.275638,-0.284499,-1.34057
22,0.460995,0.715732,0.337299,0.216868,-0.169281,-2.52178
23,0.355473,0.512762,0.181918,0.109881,-0.221838,-1.5967
24,0.158661,0.417391,-0.0108471,-0.0158235,-0.04654,-2.50792
25,0.140171,0.604043,-0.165524,-0.0641839,0.028342,-3.10131
26,-0.0239329,0.231773,-0.135762,-0.206683,-0.00781109,-1.96243
27,-0.173172,0.302592,0.04966,-0.165395,0.122443,-2.32974
28,0.109608,0.691387,0.323593,-0.0381347,0.0735244,-2.14886
29,0.0321544,0.302721,0.684038,-0.0520751,0.439162,-5.07248
30,-0.247714,0.0226944,0.881832,-0.0833982,0.557164,-5.29145
31,-0.597615,-0.447751,1.4233,-0.177784,0.679807,-5.76185
32,-0.50404,-0.484645,1.95024,-0.270652,0.479629,-5.03988
33,-0.711578,-0.712919,2.86794,-0.498885,0.486984,-5.0433
34,-0.355402,-0.666841,3.88125,-0.490724,0.403009,-6.04694
35,-0.302127,-0.802286,4.95494,-0.591225,0.475309,-7.99689
36,-0.218324,-0.839816,5.32041,-0.582124,0.541012,-8.97743
37,0.359643,-0.955159,5.91226,-0.49087,0.489506,-11.3546
38,0.0217087,-1.1385,6.26094,-0.45891,0.608086,-11.9069
39,0.38757,-1.211,7.02521,0.097497,0.263009,-8.90538
40,-0.0558643,-1.15102,7.76586,0.502547,0.333222,-6.9004
41,-0.201404,-0.95384,8.33779,0.789966,0.420883,-6.53086
42,-0.411641,-1.08831,9.26483,0.990731,0.397837,-5.74161
43,-0.58529,-1.43439,9.5871,0.925757,0.400431,-5.7562
44,-0.574354,-1.369,10.6468,1.12133,0.214389,-4.72068
45,-0.466261,-1.66338,11.0202,1.00158,0.287307,-5.9258
46,-0.265045,-1.40341,11.8368,1.13855,0.242856,-6.34658
47,-0.154209,-1.67142,12.2254,1.18414,0.122071,-5.75022
48,-0.12058,-1.95524,12.4165,1.1446,0.503635,-8.94608
49,0.0414594,-2.08766,12.3278,1.17091,1.15827,-13.8043
50,-0.512242,-2.53702,12.2471,0.966979,1.58724,-15.6087
51,-0.723859,-2.67556,12.1341,0.873228,1.74826,-16.1953
52,-0.444975,-2.71641,11.7922,0.737128,1.68937,-16.8419
53,-0.654263,-2.84137,11.726,0.731408,1.37154,-13.735
54,-0.790559,-2.66871,12.0156,0.817625,1.34063,-12.8636
55,-0.501601,-2.55982,12.2034,0.711664,1.34261,-14.16
56,-0.389137,-2.50522,12.6237,0.730369,1.1182,-13.1357
57,-0.312474,-2.82808,13.2734,0.569939,0.970977,-13.2483
58,-0.445663,-2.98414,14.9656,0.479033,1.42398,-18.454
59,-0.48917,-3.49021,15.1246,0.296296,1.3637,-18.6216
60,-0.657647,-3.71123,16.0132,0.323015,1.55246,-19.665
61,-0.702063,-3.62763,16.5286,0.342498,1.61074,-19.5617
62,-0.519448,-3.5697,17.2591,0.567168,1.43442,-17.2667
63,-0.315697,-3.70801,17.8344,0.819387,1.06617,-13.6192
64,-0.134078,-3.71058,18.4046,0.974209,0.821811,-11.6086
65,0.208748,-3.57824,18.7851,1.02891,0.72271,-12.3225
66,0.619744,-3.27243,19.6757,1.205,0.391568,-11.688
67,0.511524,-3.41035,20.3066,1.26337,0.19347,-11.0482
68,0.460301,-3.99465,21.9134,1.19861,0.601837,-16.5834
69,0.252096,-4.82356,22.746,1.09992,0.846253,-19.3197
70,-0.432466,-4.90153,23.4463,1.11174,1.21676,-20.3712
71,-0.514464,-5.13366,23.7743,1.16719,1.21113,-20.396
72,-0.538012,-5.29527,23.7833,1.31138,0.996148,-18.3866
73,-0.577682,-5.15026,23.6759,1.53891,0.723305,-15.1635
74,-0.632278,-5.2846,23.6319,1.57691,0.824424,-15.3208
75,-0.215533,-4.77383,23.838,1.85419,0.958177,-16.2486
76,-0.275234,-5.104,23.6868,1.66328,1.15275,-17.7329
77,-0.112527,-5.20988,24.1629,1.66064,1.26263,-19.1204
78,-0.178126,-5.65056,24.2201,1.35219,1.74725,-23.7065
79,0.00735709,-5.55316,24.1115,1.52743,1.35506,-21.0031
80,-0.327605,-5.81936,23.582,1.48054,1.155,-18.6014
81,-0.0451487,-5.54039,23.5599,1.60552,1.11349,-18.469
82,0.119435,-5.16341,23.8339,1.78544,0.442768,-13.6504
83,-0.147639,-5.63365,24.2106,1.67212,0.532325,-14.069
84,-0.0450345,-5.4019,25.7257,1.99337,0.240518,-12.5451
85,0.14204,-5.58645,26.7735,2.12222,0.0224628,-12.3907
86,0.158494,-5.95022,28.6082,2.37863,-0.00331017,-13.4371
87,0.303128,-6.34135,31.1229,2.73716,0.363561,-18.0847
88,0.212956,-6.7256,31.5511,2.70925,0.356522,-18.6718
89,0.0901669,-7.03381,32.1483,2.77498,0.389178,-19.5677
90,-0.256533,-7.08807,32.5141,2.78405,0.658916,-20.9968
91,-0.187062,-6.66768,32.6542,2.96278,0.209789,-18.4172
92,-0.0765864,-6.47329,32.641,3.04007,0.0286625,-17.7445
93,-0.23857,-6.25695,32.3544,3.01604,0.0213143,-17.7922
94,-0.153363,-6.26004,32.1361,2.947,-0.109961,-17.6073
95,-0.0930866,-6.41995,32.0513,2.84329,0.297666,-21.2125
96,-0.272497,-6.7077,31.9652,2.67086,0.412054,-22.2186
97,-0.050027,-7.19524,32.6154,2.39696,0.912779,-27.4931
98,-0.297557,-7.902,33.3811,2.19777,1.1019,-29.6022
99,-0.00444226,-7.83751,34.0252,2.34936,0.989339,-29.9189
100,-0.173411,-8.00203,34.8677,2.43963,1.01511,-30.4866
101,-0.202429,-7.91049,35.4726,2.60618,1.0425,-30.4722
102,-0.112797,-7.87001,36.1318,2.88291,0.847314,-29.2877
103,-0.246955,-8.15538,36.6189,3.008,0.778562,-28.47
104,-0.217132,-8.41719,37.0787,3.15442,0.652896,-27.5986
105,0.078632,-8.40617,37.1873,3.27531,0.512379,-27.4091
106,0.0509765,-8.52113,37.4922,3.33666,0.709792,-28.4965
107,-0.0910341,-8.60243,38.1354,3.40041,0.98192,-30.5235
108,-0.175924,-8.71211,38.254,3.40555,0.937452,-30.9318
109,0.00804059,-8.58195,38.7094,3.70863,0.848835,-31.7047
110,0.0619017,-8.29553,39.0417,3.92877,1.1423,-33.9646
111,-0.0745653,-8.54412,39.0686,4.07062,1.39758,-36.8236
112,-0.241786,-8.73633,39.0663,4.09867,1.63561,-38.7634
113,-0.754299,-8.90635,38.8295,3.98282,1.88733,-40.5047
114,-0.887262,-8.89062,38.6392,3.99396,1.90538,-40.9504
115,-0.613586,-8.5138,38.7293,4.44466,2.01772,-41.9648
116,0.787305,-7.53138,38.3968,7.62627,1.56209,-41.343
117,-1.28526,-7.98178,38.5012,8.31461,4.55109,-51.5019
118,0.594659,-8.02192,38.1859,8.52532,3.56571,-49.8678
119,0.326332,-8.20738,38.1479,9.22179,3.44893,-48.8403
120,0.111977,-7.81971,38.2802,10.1014,3.30513,-47.1756
121,-0.0668022,-7.75813,38.1578,10.4676,3.00298,-45.6174
122,-0.0681778,-7.73914,38.0091,10.7574,2.73686,-44.4243
123,-0.276946,-7.81657,38.0044,10.8866,2.48171,-43.172
124,-0.170613,-7.8838,37.7485,11.0791,2.21839,-42.3183
125,-0.0923773,-8.17519,37.4504,10.8958,2.84306,-44.805
126,0.18823,-8.11699,37.7986,11.2258,3.11959,-45.2313
127,0.28711,-8.35287,38.0817,11.4242,3.16868,-44.8807
128,0.356,-8.41249,38.1773,11.4653,3.24083,-44.8941
129,0.563064,-8.28179,38.3631,11.7091,3.01301,-43.875
130,0.71914,-8.32944,38.4083,11.8395,2.98821,-43.7839
131,0.748365,-8.01155,38.5334,12.0025,3.24151,-44.2608
132,0.827103,-8.17281,38.3202,12.0777,2.81392,-43.2701
133,0.989298,-7.90401,38.382,12.2718,3.01889,-44.1305
134,0.915779,-7.79737,38.3957,12.1621,3.63567,-46.1317
135,0.927882,-7.9858,38.4685,12.1708,3.77536,-47.0464
136,0.715226,-8.57517,39.0584,11.9258,5.03179,-51.3599
137,0.667362,-8.55189,39.2343,11.871,5.42476,-52.5933
138,0.73144,-8.53842,39.1053,11.7884,5.6887,-53.644
139,0.474406,-8.51701,39.04,12.0513,4.7776,-50.5076
140,0.326023,-8.33349,38.7669,12.1676,4.18647,-48.6593
141,0.305887,-8.34877,38.4323,12.079,4.03733,-48.5647
142,0.26396,-8.33713,38.2411,12.1068,3.87388,-48.3004
143,0.535686,-8.14453,38.2465,12.136,4.21647,-49.6427
144,0.687122,-8.39999,38.1844,11.7914,5.24604,-53.6777
145,0.895508,-8.79715,38.6152,11.6651,5.84147,-56.3139
146,0.594684,-9.1204,38.8266,11.5687,5.85069,-56.386
147,0.345385,-9.1377,39.3456,11.7772,5.66902,-55.2078
148,0.292944,-9.28788,39.3223,11.7956,5.51686,-54.9101
