x,y,z
0.0,0.0,0.0
1.0,0.067,0.0
2.0,0.133,0.0
3.0,0.2,0.0
4.0,0.267,0.0
5.0,0.333,8.999999999999999e-05
6.0,0.4,0.00017
7.0,0.467,0.00023999999999999998
8.0,0.533,0.00032
9.0,0.6,0.0004
10.0,0.667,0.00047999999999999996
11.0,0.733,0.0005600000000000001
12.0,0.8,0.00063
13.0,0.867,0.0007099999999999999
14.0,0.933,0.00079
15.0,1.0,0.00087
16.0,1.067,0.00095
17.0,1.133,0.00102
18.0,1.2,0.0011
19.0,1.267,0.0011799999999999998
20.0,1.333,0.00126
21.0,1.4,0.00134
22.0,1.467,0.00141
23.0,1.533,0.00149
24.0,1.6,0.00157
25.0,1.667,0.00165
26.0,1.733,0.00173
27.0,1.8,0.0018
28.0,1.867,0.00188
29.0,1.933,0.00196
30.0,2.0,0.00204
31.0,2.067,0.00211
32.0,2.133,0.00219
33.0,2.2,0.00227
34.0,2.267,0.00235
35.0,2.333,0.0024300000000000003
36.0,2.4,0.0025
37.0,2.467,0.0025800000000000003
38.0,2.533,0.00266
39.0,2.6,0.0027400000000000002
40.0,2.667,0.00282
41.0,2.733,0.00289
42.0,2.8,0.00297
43.0,2.867,0.0030499999999999998
44.0,2.933,0.00313
45.0,3.0,0.00321
46.0,3.067,0.00328
47.0,3.133,0.0033599999999999997
48.0,3.2,0.00344
49.0,3.267,0.00352
50.0,3.333,0.0036
51.0,3.4,0.00367
52.0,3.467,0.00375
53.0,3.533,0.00383
54.0,3.6,0.00391
55.0,3.667,0.0039900000000000005
56.0,3.733,0.004059999999999999
57.0,3.8,0.00414
58.0,3.867,0.00422
59.0,3.933,0.0043
60.0,4.0,0.00437
61.0,4.067,0.00445
62.0,4.133,0.00453
63.0,4.2,0.00461
64.0,4.267,0.004690000000000001
65.0,4.333,0.0047599999999999995
66.0,4.4,0.00484
67.0,4.467,0.00492
68.0,4.533,0.005
69.0,4.6,0.00508
70.0,4.667,0.00515
71.0,4.733,0.00523
72.0,4.8,0.00531
73.0,4.867,0.00539
74.0,4.933,0.00547
75.0,5.0,0.00554
76.0,5.067,0.00562
77.0,5.133,0.0057
78.0,5.2,0.00578
79.0,5.267,0.005849999999999999
80.0,5.333,0.0059299999999999995
81.0,5.4,0.00601
82.0,5.467,0.00609
83.0,5.533,0.00617
84.0,5.6,0.00624
85.0,5.667,0.00632
86.0,5.733,0.0064
87.0,5.8,0.0064800000000000005
88.0,5.867,0.00656
89.0,5.933,0.00663
90.0,6.0,0.00671
91.0,6.067,0.00679
92.0,6.133,0.00687
93.0,6.2,0.0069500000000000004
94.0,6.267,0.007019999999999999
95.0,6.333,0.0070999999999999995
96.0,6.4,0.00718
97.0,6.467,0.00726
98.0,6.533,0.00734
99.0,6.6,0.00741
100.0,6.667,0.00749
101.0,6.733,0.00757
102.0,6.8,0.0076500000000000005
103.0,6.867,0.007719999999999999
104.0,6.933,0.0078
105.0,7.0,0.00788
106.0,7.067,0.00796
107.0,7.133,0.008039999999999999
108.0,7.2,0.00811
109.0,7.267,0.00819
110.0,7.333,0.00827
111.0,7.4,0.00835
112.0,7.467,0.00843
113.0,7.533,0.0085
114.0,7.6,0.00858
115.0,7.667,0.00866
116.0,7.733,0.00874
117.0,7.8,0.00882
118.0,7.867,0.00889
119.0,7.933,0.00897
120.0,8.0,0.00905
121.0,8.067,0.009130000000000001
122.0,8.133,0.009210000000000001
123.0,8.2,0.00928
124.0,8.267,0.00936
125.0,8.333,0.009439999999999999
126.0,8.4,0.009519999999999999
127.0,8.467,0.00959
128.0,8.533,0.00967
129.0,8.6,0.00975
130.0,8.667,0.00983
131.0,8.733,0.00991
132.0,8.8,0.009980000000000001
133.0,8.867,0.010060000000000001
134.0,8.933,0.01014
135.0,9.0,0.01022
136.0,9.067,0.0103
137.0,9.133,0.010369999999999999
138.0,9.2,0.01045
139.0,9.267,0.01053
140.0,9.333,0.01061
141.0,9.4,0.01069
142.0,9.467,0.01076
143.0,9.533,0.01084
144.0,9.6,0.01092
145.0,9.667,0.011
146.0,9.733,0.01108
147.0,9.8,0.01115
148.0,9.867,0.01123
149.0,9.933,0.01131
150.0,10.0,0.01139
151.0,10.067,0.011460000000000001
152.0,10.133,0.01154
153.0,10.2,0.011619999999999998
154.0,10.267,0.011699999999999999
155.0,10.333,0.011779999999999999
156.0,10.4,0.01185
157.0,10.467,0.01193
158.0,10.533,0.01201
159.0,10.6,0.01209
160.0,10.667,0.01217
161.0,10.733,0.012240000000000001
162.0,10.8,0.012320000000000001
163.0,10.867,0.0124
164.0,10.933,0.01248
165.0,11.0,0.01256
166.0,11.067,0.01263
167.0,11.133,0.01271
168.0,11.2,0.01279
169.0,11.267,0.01287
170.0,11.333,0.01294
171.0,11.4,0.01302
172.0,11.467,0.013099999999999999
173.0,11.533,0.013179999999999999
174.0,11.6,0.01326
175.0,11.667,0.01333
176.0,11.733,0.01341
177.0,11.8,0.01349
178.0,11.867,0.01357
179.0,11.933,0.01365
180.0,12.0,0.013720000000000001
181.0,12.067,0.013800000000000002
182.0,12.133,0.01388
183.0,12.2,0.01396
184.0,12.267,0.014029999999999999
185.0,12.333,0.01411
186.0,12.4,0.01419
187.0,12.467,0.01427
188.0,12.533,0.01435
189.0,12.6,0.01442
190.0,12.667,0.0145
191.0,12.733,0.01458
192.0,12.8,0.01466
193.0,12.867,0.01474
194.0,12.933,0.01482
195.0,13.0,0.01489
196.0,13.067,0.01497
197.0,13.133,0.015050000000000001
198.0,13.2,0.015130000000000001
199.0,13.267,0.015210000000000001
200.0,13.333,0.01528
201.0,13.4,0.015359999999999999
202.0,13.467,0.015439999999999999
203.0,13.533,0.015519999999999999
204.0,13.6,0.0156
205.0,13.667,0.01567
206.0,13.733,0.01575
