frame,timestamp,curvilinear_abscissa
0,0.000,0.000
1,0.067,0.000
2,0.133,0.000
3,0.200,0.000
4,0.267,0.100
5,0.333,0.210
6,0.400,0.310
7,0.467,0.420
8,0.533,0.520
9,0.600,0.620
10,0.667,0.730
11,0.733,0.830
12,0.800,0.940
13,0.867,1.040
14,0.933,1.140
15,1.000,1.250
16,1.067,1.350
17,1.133,1.450
18,1.200,1.560
19,1.267,1.660
20,1.333,1.770
21,1.400,1.870
22,1.467,1.970
23,1.533,2.080
24,1.600,2.180
25,1.667,2.290
26,1.733,2.390
27,1.800,2.490
28,1.867,2.600
29,1.933,2.700
30,2.000,2.810
31,2.067,2.910
32,2.133,3.010
33,2.200,3.120
34,2.267,3.220
35,2.333,3.320
36,2.400,3.430
37,2.467,3.530
38,2.533,3.640
39,2.600,3.740
40,2.667,3.840
41,2.733,3.950
42,2.800,4.050
43,2.867,4.160
44,2.933,4.260
45,3.000,4.360
46,3.067,4.470
47,3.133,4.570
48,3.200,4.680
49,3.267,4.780
50,3.333,4.880
51,3.400,4.990
52,3.467,5.090
53,3.533,5.190
54,3.600,5.300
55,3.667,5.400
56,3.733,5.510
57,3.800,5.610
58,3.867,5.710
59,3.933,5.820
60,4.000,5.920
61,4.067,6.030
62,4.133,6.130
63,4.200,6.230
64,4.267,6.340
65,4.333,6.440
66,4.400,6.540
67,4.467,6.650
68,4.533,6.750
69,4.600,6.860
70,4.667,6.960
71,4.733,7.060
72,4.800,7.170
73,4.867,7.270
74,4.933,7.380
75,5.000,7.480
76,5.067,7.580
77,5.133,7.690
78,5.200,7.790
79,5.267,7.900
80,5.333,8.000
81,5.400,8.100
82,5.467,8.210
83,5.533,8.310
84,5.600,8.420
85,5.667,8.520
86,5.733,8.620
87,5.800,8.730
88,5.867,8.830
89,5.933,8.940
90,6.000,9.040
91,6.067,9.140
92,6.133,9.250
93,6.200,9.350
94,6.267,9.450
95,6.333,9.560
96,6.400,9.660
97,6.467,9.770
98,6.533,9.870
99,6.600,9.970
100,6.667,10.080
101,6.733,10.180
102,6.800,10.290
103,6.867,10.390
104,6.933,10.490
105,7.000,10.600
106,7.067,10.700
107,7.133,10.810
108,7.200,10.910
