frame,timestamp,curvilinear_abscissa
6,1740546763.865799,0.11
7,1740546764.049195,0.21
8,1740546764.397748,0.31
9,1740546764.513794,0.41
10,1740546764.608327,0.51
11,1740546764.703218,0.61
12,1740546764.798342,0.71
13,1740546764.909553,0.82
14,1740546765.004364,0.92
15,1740546765.115837,1.02
16,1740546765.231745,1.12
17,1740546765.330299,1.22
18,1740546765.436909,1.32
19,1740546765.534871,1.42
20,1740546765.631814,1.52
21,1740546765.731409,1.63
22,1740546765.830486,1.73
23,1740546765.937776,1.83
24,1740546766.038479,1.93
25,1740546766.136220,2.03
26,1740546766.238330,2.13
27,1740546766.336879,2.23
28,1740546766.445526,2.33
29,1740546766.542600,2.44
30,1740546766.647133,2.54
31,1740546766.749131,2.64
32,1740546766.848353,2.74
33,1740546766.953944,2.84
34,1740546767.053459,2.94
35,1740546767.167323,3.04
36,1740546767.267085,3.14
37,1740546767.366373,3.25
38,1740546767.474577,3.35
39,1740546767.575368,3.45
40,1740546767.684381,3.55
41,1740546767.782615,3.65
42,1740546767.881691,3.75
43,1740546767.982967,3.85
44,1740546768.082377,3.95
45,1740546768.192557,4.06
46,1740546768.295376,4.16
47,1740546768.398688,4.26
48,1740546768.502010,4.36
49,1740546768.601237,4.46
50,1740546768.708105,4.56
51,1740546768.809518,4.66
52,1740546768.915556,4.76
53,1740546769.016236,4.87
54,1740546769.117853,4.97
55,1740546769.226783,5.07
56,1740546769.330646,5.17
57,1740546769.442720,5.27
58,1740546769.547558,5.37
59,1740546769.651497,5.47
60,1740546769.754431,5.57
61,1740546769.855277,5.67
62,1740546769.970300,5.78
63,1740546770.071035,5.88
64,1740546770.177394,5.98
65,1740546770.279969,6.08
66,1740546770.380609,6.18
67,1740546770.485193,6.28
68,1740546770.584384,6.38
69,1740546770.697331,6.48
70,1740546770.799977,6.59
71,1740546770.902495,6.69
72,1740546771.010059,6.79
73,1740546771.114398,6.89
74,1740546771.224079,6.99
75,1740546771.327159,7.09
76,1740546771.433333,7.19
77,1740546771.534789,7.30
78,1740546771.633641,7.40
79,1740546771.737499,7.50
80,1740546771.837590,7.60
81,1740546771.952835,7.70
82,1740546772.050661,7.80
83,1740546772.150927,7.90
84,1740546772.260141,8.00
85,1740546772.364559,8.10
86,1740546772.470457,8.21
87,1740546772.570598,8.31
88,1740546772.675613,8.41
89,1740546772.780739,8.51
90,1740546772.880754,8.61
91,1740546772.986668,8.71
92,1740546773.087531,8.81
93,1740546773.196882,8.91
94,1740546773.301836,9.02
95,1740546773.402786,9.12
96,1740546773.517267,9.22
97,1740546773.616067,9.32
98,1740546773.732491,9.42
99,1740546773.833644,9.52
100,1740546773.939054,9.62
101,1740546774.045212,9.72
102,1740546774.147301,9.83
103,1740546774.256454,9.93
104,1740546774.359343,10.03
105,1740546774.468667,10.13
106,1740546774.584116,10.23
107,1740546774.713558,10.33
108,1740546774.815812,10.43
109,1740546774.923961,10.53
110,1740546775.027544,10.64
111,1740546775.130471,10.74
112,1740546775.237989,10.84
113,1740546775.342902,10.94
114,1740546775.457645,11.04
115,1740546775.560848,11.14
116,1740546775.673895,11.24
117,1740546775.778186,11.34
118,1740546775.899702,11.45
119,1740546776.025459,11.55
120,1740546776.151713,11.65
121,1740546776.285560,11.75
122,1740546776.410365,11.85
123,1740546776.534440,11.95
124,1740546776.638275,12.05
125,1740546776.750321,12.15
126,1740546776.855476,12.26
127,1740546776.966639,12.36
128,1740546777.071870,12.46
129,1740546777.187263,12.56
130,1740546777.290625,12.66
131,1740546777.398539,12.76
132,1740546777.519796,12.86
133,1740546777.622598,12.96
134,1740546777.747308,13.07
135,1740546777.850515,13.17
136,1740546777.968229,13.27
137,1740546778.071585,13.37
138,1740546778.186066,13.47
139,1740546778.288610,13.57
140,1740546778.397740,13.67
141,1740546778.508018,13.78
142,1740546778.616915,13.88
143,1740546778.728211,13.98
144,1740546778.836211,14.08
145,1740546778.950585,14.18
146,1740546779.055368,14.28
147,1740546779.161902,14.38
148,1740546779.275326,14.49
149,1740546779.382537,14.59
150,1740546779.505945,14.69
151,1740546779.612910,14.79
152,1740546779.724674,14.89
153,1740546779.831751,14.99
154,1740546779.941955,15.10
155,1740546780.052229,15.20
156,1740546780.157375,15.30
157,1740546780.269241,15.40
158,1740546780.370632,15.50
159,1740546780.481218,15.60
160,1740546780.586614,15.70
161,1740546780.694152,15.80
162,1740546780.799950,15.90
163,1740546780.901513,16.01
164,1740546781.008161,16.11
165,1740546781.119594,16.21
166,1740546781.227120,16.31
167,1740546781.335717,16.41
168,1740546781.442944,16.51
169,1740546781.553097,16.61
170,1740546781.656412,16.71
171,1740546781.762634,16.82
172,1740546781.869139,16.92
173,1740546781.974180,17.02
174,1740546782.077878,17.12
175,1740546782.192689,17.22
176,1740546782.296381,17.32
177,1740546782.400716,17.42
178,1740546782.505765,17.52
179,1740546782.607170,17.63
180,1740546782.720166,17.73
181,1740546782.821659,17.83
182,1740546782.923587,17.93
183,1740546783.037660,18.03
184,1740546783.136954,18.13
185,1740546783.253403,18.24
186,1740546783.355893,18.34
187,1740546783.470043,18.44
188,1740546783.577121,18.54
189,1740546783.695390,18.64
190,1740546783.804036,18.74
191,1740546783.902762,18.85
192,1740546784.008838,18.95
193,1740546784.112581,19.05
194,1740546784.225551,19.15
195,1740546784.327019,19.25
196,1740546784.433659,19.35
197,1740546784.538271,19.45
198,1740546784.637016,19.55
199,1740546784.753003,19.66
200,1740546784.851976,19.76
201,1740546784.954824,19.86
202,1740546785.055976,19.96
203,1740546785.154598,20.06
204,1740546785.257800,20.16
205,1740546785.356753,20.26
206,1740546785.462442,20.36
207,1740546785.572385,20.47
208,1740546785.674198,20.57
209,1740546785.782783,20.67
210,1740546785.881442,20.77
211,1740546785.988066,20.87
212,1740546786.087752,20.97
213,1740546786.195958,21.07
214,1740546786.299881,21.18
215,1740546786.398457,21.28
216,1740546786.503957,21.38
217,1740546786.602578,21.48
218,1740546786.704206,21.58
219,1740546786.803763,21.68
220,1740546786.905364,21.78
221,1740546787.008193,21.89
222,1740546787.107425,21.99
223,1740546787.209597,22.09
224,1740546787.310545,22.19
225,1740546787.409799,22.29
226,1740546787.512109,22.39
227,1740546787.615958,22.49
228,1740546787.724102,22.59
229,1740546787.821150,22.70
230,1740546787.918697,22.80
231,1740546788.023231,22.90
232,1740546788.121186,23.00
233,1740546788.226743,23.10
234,1740546788.324669,23.20
235,1740546788.420533,23.30
236,1740546788.526180,23.40
237,1740546788.624258,23.51
238,1740546788.726802,23.61
239,1740546788.825265,23.71
240,1740546788.921942,23.81
241,1740546789.037378,23.91
242,1740546789.137441,24.01
243,1740546789.238137,24.11
244,1740546789.336763,24.21
245,1740546789.446587,24.32
246,1740546789.541174,24.42
247,1740546789.640631,24.52
248,1740546789.754470,24.62
249,1740546789.852494,24.72
250,1740546789.954304,24.82
251,1740546790.056271,24.92
252,1740546790.150937,25.02
253,1740546790.256338,25.13
254,1740546790.357207,25.23
255,1740546790.457562,25.33
256,1740546790.555684,25.43
257,1740546790.655013,25.53
258,1740546790.757291,25.63
259,1740546790.854377,25.73
260,1740546790.955775,25.83
261,1740546791.054505,25.94
262,1740546791.154176,26.04
263,1740546791.257432,26.14
264,1740546791.357619,26.24
265,1740546791.458350,26.34
266,1740546791.556909,26.44
267,1740546791.656339,26.54
268,1740546791.761180,26.64
269,1740546791.859795,26.75
270,1740546791.962308,26.85
271,1740546792.062142,26.95
272,1740546792.159589,27.05
273,1740546792.261305,27.15
274,1740546792.359346,27.25
275,1740546792.462172,27.35
276,1740546792.561838,27.45
277,1740546792.660619,27.56
278,1740546792.763003,27.66
279,1740546792.861127,27.76
280,1740546792.966502,27.86
281,1740546793.069369,27.96
282,1740546793.168707,28.06
283,1740546793.273416,28.16
284,1740546793.372328,28.27
285,1740546793.480379,28.37
286,1740546793.582069,28.47
287,1740546793.706568,28.57
288,1740546793.806144,28.67
289,1740546793.906090,28.77
290,1740546794.013265,28.87
291,1740546794.113694,28.97
292,1740546794.224256,29.08
293,1740546794.324022,29.18
294,1740546794.423764,29.28
295,1740546794.529216,29.38
296,1740546794.630602,29.48
297,1740546794.737482,29.58
298,1740546794.835185,29.68
299,1740546794.939707,29.79
300,1740546795.042169,29.89
301,1740546795.142216,29.99
302,1740546795.258002,30.09
303,1740546795.357320,30.19
304,1740546795.460523,30.29
305,1740546795.565397,30.39
306,1740546795.668782,30.49
307,1740546795.777427,30.60
308,1740546795.879129,30.70
309,1740546795.986979,30.80
310,1740546796.086907,30.90
311,1740546796.193587,31.00
312,1740546796.293335,31.10
313,1740546796.393023,31.20
314,1740546796.510218,31.30
315,1740546796.609998,31.41
316,1740546796.714223,31.51
317,1740546796.815313,31.61
318,1740546796.915409,31.71
319,1740546797.019001,31.81
320,1740546797.119179,31.91
321,1740546797.230046,32.01
322,1740546797.330830,32.11
323,1740546797.434143,32.22
324,1740546797.540360,32.32
325,1740546797.644135,32.42
326,1740546797.747833,32.52
327,1740546797.854022,32.62
328,1740546797.958131,32.72
329,1740546798.059935,32.82
330,1740546798.160155,32.92
331,1740546798.264855,33.03
332,1740546798.364811,33.13
333,1740546798.475407,33.23
334,1740546798.576311,33.33
335,1740546798.674405,33.43
336,1740546798.778797,33.53
337,1740546798.877148,33.63
338,1740546798.984149,33.73
339,1740546799.085758,33.84
340,1740546799.190722,33.94
341,1740546799.293471,34.04
342,1740546799.393349,34.14
343,1740546799.497842,34.24
344,1740546799.597919,34.34
345,1740546799.705532,34.44
346,1740546799.806988,34.54
347,1740546799.907687,34.65
348,1740546800.016821,34.75
349,1740546800.117913,34.85
350,1740546800.237515,34.95
351,1740546800.343593,35.05
352,1740546800.455205,35.15
353,1740546800.554963,35.25
354,1740546800.654073,35.35
355,1740546800.765310,35.46
356,1740546800.866525,35.56
357,1740546800.972970,35.66
358,1740546801.072966,35.76
359,1740546801.170168,35.86
360,1740546801.277593,35.96
361,1740546801.376613,36.06
362,1740546801.481011,36.16
363,1740546801.585402,36.26
364,1740546801.685211,36.37
365,1740546801.794458,36.47
366,1740546801.901714,36.57
367,1740546802.029155,36.67
368,1740546802.127152,36.77
369,1740546802.231137,36.87
