frame,timestamp,curvilinear_abscissa
0,1741148630.160914,0.34
1,1741148632.451961,0.67
2,1741148635.064896,1.01
3,1741148637.172103,1.34
4,1741148639.296280,1.68
5,1741148641.419475,2.01
6,1741148643.492071,2.35
7,1741148645.579250,2.68
8,1741148647.643213,3.02
9,1741148649.724174,3.36
10,1741148651.847137,3.69
11,1741148653.929833,4.03
12,1741148656.024338,4.36
13,1741148658.122320,4.70
14,1741148660.207946,5.03
15,1741148662.330919,5.37
16,1741148664.433470,5.70
17,1741148666.527001,6.04
18,1741148668.637345,6.37
19,1741148670.742951,6.71
20,1741148672.948725,7.05
21,1741148675.056657,7.38
22,1741148677.165710,7.72
23,1741148679.282279,8.05
24,1741148681.494510,8.39
25,1741148683.604633,8.72
26,1741148685.699416,9.06
27,1741148687.819407,9.39
28,1741148689.929300,9.73
29,1741148692.069557,10.07
30,1741148694.202111,10.40
31,1741148696.318708,10.74
32,1741148698.453628,11.07
33,1741148700.576951,11.41
34,1741148702.731904,11.74
35,1741148704.865836,12.08
36,1741148706.998654,12.42
37,1741148709.123960,12.75
38,1741148711.254074,13.09
39,1741148713.409329,13.42
40,1741148715.532375,13.76
41,1741148717.639251,14.09
42,1741148719.782738,14.42
43,1741148721.903099,14.76
44,1741148724.067761,15.10
45,1741148726.189509,15.43
46,1741148728.330080,15.77
47,1741148730.463799,16.10
48,1741148732.623492,16.44
49,1741148734.802303,16.77
50,1741148736.929617,17.10
51,1741148739.074531,17.44
52,1741148741.201134,17.77
53,1741148743.365615,18.10
54,1741148745.495617,18.44
55,1741148747.646594,18.78
56,1741148749.804408,19.11
57,1741148751.959755,19.45
58,1741148754.142792,19.78
59,1741148756.270027,20.12
60,1741148758.404433,20.45
61,1741148760.531952,20.79
62,1741148762.661993,21.12
63,1741148764.832385,21.46
64,1741148766.988209,21.79
65,1741148769.102379,22.13
66,1741148771.238956,22.47
67,1741148773.352608,22.80
68,1741148775.520210,23.13
69,1741148777.618755,23.47
70,1741148779.750887,23.80
71,1741148781.856708,24.14
72,1741148783.999055,24.48
73,1741148786.148332,24.81
74,1741148788.277541,25.15
75,1741148790.372969,25.48
76,1741148792.483997,25.82
77,1741148794.627072,26.15
78,1741148796.808382,26.49
79,1741148798.938740,26.82
80,1741148801.076010,27.16
81,1741148803.221359,27.49
82,1741148805.343246,27.82
83,1741148807.478594,28.16
84,1741148809.588275,28.49
85,1741148811.752527,28.83
86,1741148813.908309,29.16
87,1741148816.031972,29.49
88,1741148818.186422,29.83
89,1741148820.297398,30.16
90,1741148822.415815,30.50
91,1741148824.551859,30.83
92,1741148826.680959,31.17
93,1741148828.864941,31.50
94,1741148830.990702,31.84
95,1741148833.111107,32.17
96,1741148835.231249,32.51
97,1741148837.374295,32.84
98,1741148839.535119,33.18
99,1741148841.667676,33.51
100,1741148843.765106,33.85
101,1741148845.879463,34.18
102,1741148847.988778,34.52
103,1741148850.151047,34.85
104,1741148852.260403,35.19
105,1741148854.361522,35.52
106,1741148856.520489,35.86
107,1741148858.655772,36.19
108,1741148860.814446,36.53
109,1741148862.935277,36.86
110,1741148865.093851,37.20
111,1741148867.180380,37.53
112,1741148869.325790,37.87
113,1741148871.467246,38.20
114,1741148873.583680,38.54
115,1741148875.679930,38.87
116,1741148877.799733,39.21
117,1741148879.896133,39.54
118,1741148882.051573,39.88
119,1741148884.157434,40.21
120,1741148886.254270,40.55
121,1741148888.349101,40.88
122,1741148890.469793,41.22
123,1741148892.584276,41.56
124,1741148894.696093,41.89
125,1741148896.784148,42.23
126,1741148898.873468,42.56
127,1741148901.013782,42.90
128,1741148903.147722,43.23
129,1741148905.269683,43.57
130,1741148907.403351,43.90
131,1741148909.540521,44.24
132,1741148911.672852,44.58
133,1741148913.785294,44.91
134,1741148915.885280,45.25
135,1741148918.006333,45.58
136,1741148920.106137,45.92
137,1741148922.261693,46.25
138,1741148924.387076,46.59
139,1741148926.492189,46.92
140,1741148928.621852,47.26
141,1741148930.722469,47.59
142,1741148932.870282,47.93
143,1741148934.971267,48.26
144,1741148937.059608,48.60
145,1741148939.183796,48.93
146,1741148941.329150,49.27
147,1741148943.461688,49.60
148,1741148945.562159,49.94
149,1741148947.688483,50.28
150,1741148949.791540,50.61
151,1741148951.978368,50.93
152,1741148954.086715,51.26
153,1741148956.214082,51.60
154,1741148958.317435,51.93
155,1741148960.442348,52.27
156,1741148962.567931,52.61
157,1741148964.656253,52.94
158,1741148966.766735,53.27
159,1741148968.851216,53.61
160,1741148970.948524,53.94
161,1741148973.096262,54.28
162,1741148975.207819,54.60
163,1741148977.325106,54.92
164,1741148979.441371,55.25
165,1741148981.604453,55.58
166,1741148983.716886,55.92
167,1741148985.829875,56.25
168,1741148987.934664,56.59
169,1741148990.060299,56.92
170,1741148992.194796,57.26
171,1741148994.363916,57.59
172,1741148996.475516,57.93
173,1741148998.594914,58.26
174,1741149000.701122,58.60
175,1741149002.860228,58.93
176,1741149004.965184,59.27
177,1741149007.059674,59.60
178,1741149009.190325,59.94
179,1741149011.300214,60.27
180,1741149013.447609,60.60
181,1741149015.545387,60.93
182,1741149017.661563,61.25
183,1741149019.773633,61.58
184,1741149021.874673,61.92
185,1741149024.020940,62.26
186,1741149026.111470,62.59
187,1741149028.238455,62.93
188,1741149030.335611,63.27
189,1741149032.459687,63.60
190,1741149034.601817,63.94
191,1741149036.724131,64.27
192,1741149038.823339,64.60
193,1741149040.921861,64.94
194,1741149043.059328,65.27
195,1741149045.208175,65.61
196,1741149047.329717,65.94
197,1741149049.525537,66.28
198,1741149051.654776,66.61
199,1741149053.790673,66.95
200,1741149055.956613,67.29
201,1741149058.075877,67.62
202,1741149060.225843,67.96
203,1741149062.349988,68.29
204,1741149064.502048,68.63
205,1741149066.676473,68.96
206,1741149068.803884,69.30
207,1741149070.934918,69.63
208,1741149073.055790,69.97
209,1741149075.161723,70.30
210,1741149077.317456,70.64
211,1741149079.427375,70.97
212,1741149081.561369,71.31
213,1741149083.683965,71.64
214,1741149087.441181,71.98
215,1741149091.193881,72.31
216,1741149094.188021,72.65
217,1741149096.936563,72.98
218,1741149099.508388,73.32
219,1741149102.809997,73.65
220,1741149105.939713,73.99
221,1741149108.173046,74.33
222,1741149110.521731,74.66
223,1741149113.201450,75.00
224,1741149115.674310,75.33
225,1741149118.175348,75.67
226,1741149120.690266,76.00
227,1741149123.086557,76.34
228,1741149126.896122,76.67
229,1741149131.537632,77.01
230,1741149135.779761,77.35
231,1741149139.854138,77.68
232,1741149143.375415,78.02
233,1741149147.687099,78.35
234,1741149150.434522,78.69
235,1741149154.771869,79.02
236,1741149157.716220,79.36
237,1741149160.699615,79.69
238,1741149164.521460,80.03
239,1741149167.715131,80.37
240,1741149170.797724,80.70
241,1741149174.086519,81.04
242,1741149177.314703,81.37
243,1741149180.157894,81.71
244,1741149182.386342,82.04
245,1741149185.935949,82.38
246,1741149188.981719,82.71
247,1741149191.672005,83.05
248,1741149194.226836,83.38
249,1741149197.026370,83.56
250,1741149200.287523,83.22
251,1741149203.466178,82.88
252,1741149206.469195,82.55
253,1741149209.462400,82.21
254,1741149212.104135,81.88
255,1741149214.778466,81.54
256,1741149217.609104,81.20
257,1741149220.615571,80.87
258,1741149223.626251,80.53
259,1741149226.877807,80.20
260,1741149229.401476,79.86
261,1741149232.325281,79.53
262,1741149235.037524,79.19
263,1741149238.564522,78.86
264,1741149241.836278,78.52
265,1741149244.758342,78.18
266,1741149247.664965,77.85
267,1741149251.070436,77.51
268,1741149254.067465,77.18
269,1741149256.290016,76.84
270,1741149258.968085,76.51
271,1741149261.416692,76.17
272,1741149264.200186,75.84
273,1741149266.485624,75.50
274,1741149269.210293,75.16
275,1741149271.525303,74.83
276,1741149273.793646,74.49
277,1741149276.622452,74.16
278,1741149278.937837,73.82
279,1741149282.499004,73.49
280,1741149285.119869,73.15
281,1741149287.628561,72.82
282,1741149292.053899,72.48
283,1741149296.606201,72.14
284,1741149300.902595,71.81
285,1741149304.909713,71.47
286,1741149309.337041,71.14
287,1741149313.045182,70.80
288,1741149316.134910,70.47
289,1741149318.334066,70.13
290,1741149320.668828,69.80
291,1741149322.877833,69.47
292,1741149325.023709,69.13
293,1741149327.113332,68.80
294,1741149329.215133,68.46
295,1741149331.320421,68.12
296,1741149333.402915,67.79
297,1741149335.545502,67.45
298,1741149337.630690,67.12
299,1741149339.727095,66.78
300,1741149341.817255,66.45
301,1741149343.992497,66.11
302,1741149346.148385,65.78
303,1741149348.331539,65.44
304,1741149350.681204,65.11
305,1741149353.031728,64.77
306,1741149355.398615,64.44
307,1741149357.704853,64.10
308,1741149360.001774,63.77
309,1741149362.311441,63.43
310,1741149364.460345,63.10
311,1741149366.626383,62.76
312,1741149368.749617,62.42
313,1741149370.879787,62.09
314,1741149373.004925,61.75
315,1741149375.120060,61.41
316,1741149377.300349,61.09
317,1741149379.421169,60.76
318,1741149381.539610,60.44
319,1741149383.644778,60.11
320,1741149385.791024,59.77
321,1741149387.893262,59.43
322,1741149390.024863,59.10
323,1741149392.139709,58.77
324,1741149394.239204,58.43
325,1741149396.404289,58.10
326,1741149398.520793,57.76
327,1741149400.645719,57.42
328,1741149402.739268,57.09
329,1741149404.853315,56.76
330,1741149406.997296,56.42
331,1741149409.138644,56.09
332,1741149411.249760,55.75
333,1741149413.383130,55.42
334,1741149415.492085,55.08
335,1741149417.647390,54.75
336,1741149419.762100,54.44
337,1741149421.894514,54.11
338,1741149424.023051,53.78
339,1741149426.169608,53.44
340,1741149428.287982,53.11
341,1741149430.381071,52.77
342,1741149432.508513,52.44
343,1741149434.799922,52.10
344,1741149437.079764,51.77
345,1741149439.364233,51.43
346,1741149442.111266,51.09
347,1741149444.814809,50.76
348,1741149447.429368,50.44
349,1741149449.726865,50.11
350,1741149451.973613,49.77
351,1741149454.217654,49.43
352,1741149456.345810,49.10
353,1741149458.642747,48.77
354,1741149460.916461,48.43
355,1741149463.171184,48.10
356,1741149465.401194,47.76
357,1741149467.653087,47.42
358,1741149469.875695,47.09
